"","ID_MUJ","FAC_MUJ","EDAD","tipo_violencia","value"
"317","0160236.12.01.05",274,17,"fue_violentada_emoc",TRUE
"318","0160251.09.01.04",263,20,"fue_violentada_emoc",TRUE
"319","0160251.17.01.02",88,51,"fue_violentada_emoc",TRUE
"320","0160252.03.01.02",164,21,"fue_violentada_emoc",TRUE
"321","0160252.04.01.03",164,16,"fue_violentada_emoc",TRUE
"322","0200030.01.01.02",586,35,"fue_violentada_emoc",TRUE
"323","0200030.05.01.02",586,42,"fue_violentada_emoc",TRUE
"324","0200084.01.01.01",506,35,"fue_violentada_emoc",TRUE
"325","0200197.01.01.02",273,58,"fue_violentada_emoc",TRUE
"326","0200199.03.01.02",269,24,"fue_violentada_emoc",TRUE
"327","0200216.02.01.03",542,36,"fue_violentada_emoc",TRUE
"328","0200235.01.01.02",265,46,"fue_violentada_emoc",TRUE
"329","0200278.01.01.01",254,41,"fue_violentada_emoc",TRUE
"330","0200280.01.01.01",263,56,"fue_violentada_emoc",TRUE
"331","0200636.05.01.01",214,70,"fue_violentada_emoc",TRUE
"332","0200679.03.01.01",267,65,"fue_violentada_emoc",TRUE
"333","0200706.03.01.03",608,15,"fue_violentada_emoc",TRUE
"334","0200770.05.01.01",316,32,"fue_violentada_emoc",TRUE
"335","0201028.04.01.02",883,49,"fue_violentada_emoc",TRUE
"336","0201077.01.01.02",227,30,"fue_violentada_emoc",TRUE
"337","0201096.04.01.01",338,81,"fue_violentada_emoc",TRUE
"338","0201137.03.01.02",613,21,"fue_violentada_emoc",TRUE
"339","0201220.01.01.06",1100,18,"fue_violentada_emoc",TRUE
"340","0201295.05.01.02",267,43,"fue_violentada_emoc",TRUE
"341","0201379.05.01.03",504,19,"fue_violentada_emoc",TRUE
"342","0201428.02.01.01",939,62,"fue_violentada_emoc",TRUE
"343","0201478.04.01.03",697,15,"fue_violentada_emoc",TRUE
"344","0201530.01.01.02",282,35,"fue_violentada_emoc",TRUE
"345","0201530.03.01.02",282,77,"fue_violentada_emoc",TRUE
"346","0201530.05.01.02",563,63,"fue_violentada_emoc",TRUE
"347","0201574.02.01.03",611,15,"fue_violentada_emoc",TRUE
"348","0201579.03.01.02",1009,64,"fue_violentada_emoc",TRUE
"349","0201579.05.01.02",673,18,"fue_violentada_emoc",TRUE
"350","0201663.05.01.04",991,16,"fue_violentada_emoc",TRUE
"351","0201698.03.01.05",313,18,"fue_violentada_emoc",TRUE
"352","0201797.03.01.01",304,31,"fue_violentada_emoc",TRUE
"353","0201839.05.01.01",262,33,"fue_violentada_emoc",TRUE
"354","0201924.05.01.01",277,48,"fue_violentada_emoc",TRUE
"355","0201953.03.01.01",268,68,"fue_violentada_emoc",TRUE
"356","0201961.02.01.01",271,67,"fue_violentada_emoc",TRUE
"357","0202074.03.01.02",488,30,"fue_violentada_emoc",TRUE
"358","0202090.05.01.02",895,18,"fue_violentada_emoc",TRUE
"359","0202097.05.01.02",358,27,"fue_violentada_emoc",TRUE
"360","0202154.05.01.02",269,30,"fue_violentada_emoc",TRUE
"361","0202174.04.01.01",299,41,"fue_violentada_emoc",TRUE
"362","0202178.03.01.02",637,34,"fue_violentada_emoc",TRUE
"363","0202178.04.01.03",637,16,"fue_violentada_emoc",TRUE
"364","0202197.03.01.02",506,18,"fue_violentada_emoc",TRUE
"365","0202241.03.01.01",243,37,"fue_violentada_emoc",TRUE
"366","0202271.01.01.02",512,19,"fue_violentada_emoc",TRUE
"367","0202271.04.01.02",512,21,"fue_violentada_emoc",TRUE
"368","0202362.05.01.02",314,35,"fue_violentada_emoc",TRUE
"369","0202387.01.01.03",825,19,"fue_violentada_emoc",TRUE
"370","0202387.04.01.01",275,33,"fue_violentada_emoc",TRUE
"371","0202401.01.01.04",951,17,"fue_violentada_emoc",TRUE
"372","0202460.01.01.02",327,36,"fue_violentada_emoc",TRUE
"373","0202503.03.01.02",524,98,"fue_violentada_emoc",TRUE
"374","0202520.01.01.02",823,25,"fue_violentada_emoc",TRUE
"375","0202524.02.01.01",246,49,"fue_violentada_emoc",TRUE
"376","0202547.01.01.04",972,17,"fue_violentada_emoc",TRUE
"377","0202618.04.01.01",378,38,"fue_violentada_emoc",TRUE
"378","0202725.04.01.02",220,22,"fue_violentada_emoc",TRUE
"379","0202730.02.01.02",252,35,"fue_violentada_emoc",TRUE
"380","0202730.03.01.02",252,31,"fue_violentada_emoc",TRUE
"381","0202762.02.01.03",506,15,"fue_violentada_emoc",TRUE
"382","0202793.01.01.02",279,40,"fue_violentada_emoc",TRUE
"383","0202793.03.01.02",279,41,"fue_violentada_emoc",TRUE
"384","0202878.01.01.02",236,27,"fue_violentada_emoc",TRUE
"385","0202886.01.01.04",449,18,"fue_violentada_emoc",TRUE
"386","0202909.03.01.02",189,17,"fue_violentada_emoc",TRUE
"387","0202988.01.01.04",579,16,"fue_violentada_emoc",TRUE
"388","0203003.01.01.02",299,27,"fue_violentada_emoc",TRUE
"389","0203016.04.01.04",595,20,"fue_violentada_emoc",TRUE
"390","0203054.04.01.02",197,20,"fue_violentada_emoc",TRUE
"391","0203107.02.01.02",322,31,"fue_violentada_emoc",TRUE
"392","0203107.04.01.03",644,16,"fue_violentada_emoc",TRUE
"393","0203150.04.01.01",236,73,"fue_violentada_emoc",TRUE
"394","0203150.05.01.01",707,44,"fue_violentada_emoc",TRUE
"395","0203216.04.01.02",604,42,"fue_violentada_emoc",TRUE
"396","0203264.02.01.02",1488,75,"fue_violentada_emoc",TRUE
"397","0203282.05.01.02",320,54,"fue_violentada_emoc",TRUE
"398","0203325.01.01.02",276,29,"fue_violentada_emoc",TRUE
"399","0203326.05.01.03",693,22,"fue_violentada_emoc",TRUE
"400","0203352.05.01.01",300,28,"fue_violentada_emoc",TRUE
"401","0203529.03.01.01",303,39,"fue_violentada_emoc",TRUE
"402","0203695.03.01.02",271,44,"fue_violentada_emoc",TRUE
"403","0203708.02.01.02",215,52,"fue_violentada_emoc",TRUE
"404","0203808.01.01.02",488,40,"fue_violentada_emoc",TRUE
"405","0203808.04.01.03",977,34,"fue_violentada_emoc",TRUE
"406","0203845.04.01.03",271,18,"fue_violentada_emoc",TRUE
"407","0203862.03.01.01",574,61,"fue_violentada_emoc",TRUE
